Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2023;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;36.530;31.854.160
01/2023;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;55.521;29.187.389
01/2023;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;11.071;8.310.998
01/2023;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;7.544;3.945.512
01/2023;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;9.466;7.080.568
01/2023;EFC;Manganês;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;27.748;20.830.423
01/2023;EFC;Minério de Ferro;Açailândia;MA;Ponta da Madeira;MA;66.623;34.177.599
01/2023;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;169.733;64.159.074
01/2023;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;9.654;1.477.062
01/2023;EFC;Minério de Ferro;Carajás;PA;Ponta da Madeira;MA;6.856.727;6.109.343.757
01/2023;EFC;Minério de Ferro;Marabá;PA;Ponta da Madeira;MA;46.320;34.184.160
01/2023;EFC;Minério de Ferro;Serra Leste;PA;Ponta da Madeira;MA;337.139;280.277.809
01/2023;EFC;Minério de Ferro;Serra Sul;PA;Ponta da Madeira;MA;4.779.082;4.522.856.296
01/2023;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Açailândia;MA;21.664;11.330.272
01/2023;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Marabá;PA;34.047;25.467.156
01/2023;EFPO;Cimento acondicionado;Agrária;PR;Cascavel;PR;4.360;1.049.007
01/2023;EFPO;Soja;Cascavel;PR;Agrária;PR;2.109;507.419
01/2023;EFVM;Carvão Mineral;Tubarão;ES;Bela Vista de Minas;MG;5.185;2.716.390
01/2023;EFVM;Carvão Mineral;Tubarão;ES;Ouro Branco;MG;108.416;72.733.692
01/2023;EFVM;Celulose;Aracruz;ES;Frederico Selow;MG;120;44.468
01/2023;EFVM;Celulose;Frederico Selow;MG;Aracruz;ES;97.944;36.295.401
01/2023;EFVM;Cloreto de Potássio;Tubarão;ES;Brejo Alegre;MG;14.552;20.458.786
01/2023;EFVM;Cloreto de Potássio;Tubarão;ES;Eng. Adelmar;MG;4.474;4.323.652
01/2023;EFVM;Contêiner Cheio de 20 Pés;Tubarão;ES;Nova Granja;MG;4.832;3.290.408
01/2023;EFVM;Coque;Tubarão;ES;Prudente de Morais;MG;35.919;25.880.429
01/2023;EFVM;Coque Metalúrgico;Tubarão;ES;Bela Vista de Minas;MG;20.034;10.495.691
01/2023;EFVM;Coque Metalúrgico;Tubarão;ES;Intendente Câmara;MG;108.508;46.996.006
01/2023;EFVM;Coque Metalúrgico;Tubarão;ES;Ouro Branco;MG;9.880;6.628.254
01/2023;EFVM;Ferro Gusa;Aroaba;ES;Pedro Nolasco;ES;9.980;240.247
01/2023;EFVM;Ferro Gusa;Funil;MG;Pedro Nolasco;ES;19.508;12.505.054
01/2023;EFVM;Ferro Gusa;Funil;MG;Tubarão;ES;5.127;3.274.249
01/2023;EFVM;Fosfato;Tubarão;ES;Brejo Alegre;MG;28.064;39.455.399
01/2023;EFVM;Minério de Ferro;Brucutu;MG;Tubarão;ES;1.644.105;960.178.692
01/2023;EFVM;Minério de Ferro;Capitão Eduardo;MG;Intendente Câmara;MG;76.218;16.531.530
01/2023;EFVM;Minério de Ferro;Capitão Eduardo;MG;Mário Carvalho;MG;14.329;2.909.847
01/2023;EFVM;Minério de Ferro;Conceição;MG;Tubarão;ES;1.386.912;753.804.694
01/2023;EFVM;Minério de Ferro;Fazendão;MG;Tubarão;ES;903.271;536.983.769
01/2023;EFVM;Minério de Ferro;João Paulo;MG;Tubarão;ES;803.055;435.316.836
01/2023;EFVM;Minério de Ferro;Mário Carvalho;MG;Intendente Câmara;MG;19.984;276.258
01/2023;EFVM;Minério de Ferro;Mário Carvalho;MG;Tubarão;ES;104.299;46.614.873
01/2023;EFVM;Minério de Ferro;Ouro Branco;MG;Tubarão;ES;234.220;157.132.575
01/2023;EFVM;Minério de Ferro;Pátio 206;MG;Tubarão;ES;17.677;10.553.698
01/2023;EFVM;Minério de Ferro;Pedro Nolasco;ES;Intendente Câmara;MG;2.520;1.097.470
01/2023;EFVM;Minério de Ferro;Piraqueaçu;ES;Tubarão;ES;14.500;1.053.193
01/2023;EFVM;Minério de Ferro;Timbopeba;MG;Piraqueaçu;ES;25.648;13.806.497
01/2023;EFVM;Minério de Ferro;Timbopeba;MG;Tubarão;ES;481.067;293.903.549
01/2023;EFVM;Minério de Ferro;Tubarão;ES;Intendente Câmara;MG;53.211;23.046.269
01/2023;EFVM;Minério de Ferro;Tubarão;ES;Pedro Nolasco;ES;5.643;153.573
01/2023;EFVM;Minério de Ferro;Tubarão;ES;Piraqueaçu;ES;8.549;620.948
01/2023;EFVM;Outros - adubos e Fertilizantes;Tubarão;ES;Brejo Alegre;MG;2.229;3.133.767
01/2023;EFVM;Outros - adubos e Fertilizantes;Tubarão;ES;Eng. Adelmar;MG;2.819;2.724.267
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Capitão Eduardo;MG;19.636;4.259.006
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Carreira Comprida;MG;10.330;2.308.031
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Embiruçu;MG;33.898;8.452.972
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Lafaiete Bandeira;MG;25.953;5.781.415
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Tubarão;ES;10.309;4.464.941
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Mário Carvalho;MG;Capitão Eduardo;MG;2.329;472.959
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Intendente Câmara;MG;514;222.619
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Lafaiete Bandeira;MG;17.506;11.481.763
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Nova Granja;MG;3.139;2.137.539
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Parque Industrial;MG;7.003;4.705.875
01/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Aracruz;ES;3.947;1.977.525
01/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Capitão Eduardo;MG;6.585;812.290
01/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Eldorado;MG;8.391;1.211.029
01/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Governador Valadares;MG;6.383;1.303.025
01/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Parque Industrial;MG;567;82.398
01/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Pedro Nolasco;ES;2.359;1.248.021
01/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Prudente de Morais;MG;4.821;934.636
01/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;Ouro Branco;MG;Tubarão;ES;587;393.804
01/2023;EFVM;Prd. Siderúrgicos - Fio Máquina;Pedro Nolasco;ES;João Monlevade;MG;43;22.749
01/2023;EFVM;Prd. Siderúrgicos - Outros;Capitão Eduardo;MG;Tubarão;ES;4.014;2.609.136
01/2023;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Capitão Eduardo;MG;11.323;2.455.935
01/2023;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Carreira Comprida;MG;70;15.640
01/2023;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Lafaiete Bandeira;MG;28.279;6.299.568
01/2023;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Tubarão;ES;7.481;3.240.103
01/2023;EFVM;Prd. Siderúrgicos - Outros;Mário Carvalho;MG;Capitão Eduardo;MG;120;24.367
01/2023;EFVM;Prd. Siderúrgicos - Outros;Ouro Branco;MG;Tubarão;ES;5.872;3.939.381
01/2023;EFVM;Prd. Siderúrgicos - Outros;Pedro Nolasco;ES;Pedreira Rio das Velhas;MG;1.025;662.016
01/2023;EFVM;Prd. Siderúrgicos - Placa;Intendente Câmara;MG;Lafaiete Bandeira;MG;2.333;519.710
01/2023;EFVM;Prd. Siderúrgicos - Placa;Intendente Câmara;MG;Parque Industrial;MG;692;165.297
01/2023;EFVM;Prd. Siderúrgicos - Placa;Lafaiete Bandeira;MG;Intendente Câmara;MG;16.294;3.629.731
01/2023;EFVM;Prd. Siderúrgicos - Placa;Tubarão;ES;Divinopolis;MG;1.538;1.251.350
01/2023;EFVM;Prd. Siderúrgicos - Placa;Tubarão;ES;Governador Valadares;MG;1.202;387.661
01/2023;EFVM;Prd. Siderúrgicos - Placa;Tubarão;ES;Intendente Câmara;MG;26.543;11.496.064
01/2023;EFVM;Prd. Siderúrgicos - Tarugo;João Monlevade;MG;Parque Industrial;MG;651;94.607
01/2023;EFVM;Prd. Siderúrgicos - Tarugo;Ouro Branco;MG;Tubarão;ES;36.541;24.514.479
01/2023;EFVM;Toras de Madeira;Desembargador Drumond;MG;Frederico Selow;MG;21.450;2.330.199
01/2023;EFVM;Toras de Madeira;Eng. Costa Lacerda;MG;Frederico Selow;MG;28.852;4.927.056
01/2023;EFVM;Ureia;Tubarão;ES;Brejo Alegre;MG;9.131;12.837.353
01/2023;FCA;Açúcar;Guará;SP;Estação TUF;SP;138.160;87.784.423
01/2023;FCA;Açúcar;Mato Seco;SP;Estação TUF;SP;6.102;2.197.476
01/2023;FCA;Açúcar;Ribeirão Preto;SP;Santos;SP;68.469;184.797.546
01/2023;FCA;Açúcar;Terminal Integrador Uberaba;MG;Estação TUF;SP;17.780;13.979.628
01/2023;FCA;Areia;Roncador Novo;GO;Brasília;DF;5.901;1.443.189
01/2023;FCA;Bauxita;Bauxita;MG;Alumínio;SP;26.543;7.426.598
01/2023;FCA;Bauxita;Brasília;DF;Alumínio;SP;67.543;77.964.141
01/2023;FCA;Cal;Nova Granja;MG;Porto de Aratu;BA;5.981;9.361.046
01/2023;FCA;Calcário Siderúrgico;Arcos;MG;Barra Mansa;RJ;53.119;24.780.437
01/2023;FCA;Calcário Siderúrgico;Matozinhos;MG;Intendente Câmara;MG;28.101;7.696.048
01/2023;FCA;Calcário Siderúrgico;Nova Granja;MG;Tubarão;ES;22.101;15.049.941
01/2023;FCA;Celulose;LD Celulose;MG;Aracruz;ES;25.100;33.812.862
01/2023;FCA;Clínquer;Arcos;MG;Barra Mansa;RJ;30.101;14.042.357
01/2023;FCA;Cloreto de Potássio;Fosfago;GO;Final Ramal das Fábricas;SP;29.234;29.366.045
01/2023;FCA;Contêiner Cheio de 20 Pés;Batista Almeida;MG;Calcario;RJ;3.453;1.648.142
01/2023;FCA;Contêiner Cheio de 20 Pés;Batista Almeida;MG;Tubarão;ES;3.831;3.741.124
01/2023;FCA;Contêiner Cheio de 20 Pés;Nova Granja;MG;Tubarão;ES;119;81.034
01/2023;FCA;Contêiner Cheio de 40 Pés;Replan;SP;General Curado;GO;2.094;2.037.791
01/2023;FCA;Cromita;Campo Formoso;BA;Irapui;BA;4.189;1.614.390
01/2023;FCA;Cromita;Itiuba;BA;Irapui;BA;21.876;6.606.092
01/2023;FCA;Demais Produtos;Replan;SP;Estação Pool;GO;1.788;1.827.661
01/2023;FCA;Dolomita;Arcos;MG;Barra Mansa;RJ;24.486;11.422.914
01/2023;FCA;Enxofre;Conceiçãozinha;SP;Fosfago;GO;2.513;2.573.324
01/2023;FCA;Enxofre;Estação TUF;SP;Valefertil;MG;63.372;44.040.495
01/2023;FCA;Farelo de Soja;Brejo Alegre;MG;Estação TUF;SP;24.000;22.773.719
01/2023;FCA;Farelo de Soja;Ipameri;GO;Santos;SP;10.102;10.442.053
01/2023;FCA;Ferro Gusa;Paulo Menicucci;MG;Tubarão;ES;10.870;8.965.564
01/2023;FCA;Ferro Gusa;Prudente de Morais;MG;Pedro Nolasco;ES;28.045;20.274.148
01/2023;FCA;Ferro Gusa;Prudente de Morais;MG;Tubarão;ES;33.861;24.324.096
01/2023;FCA;Fosfato;Catalão;GO;Valefertil;MG;47.201;14.303.932
01/2023;FCA;Gasolina;Candeias;BA;Montes Claros;MG;1.748;1.871.398
01/2023;FCA;Gasolina;Embiruçu;MG;Governador Valadares;MG;3.553;1.439.487
01/2023;FCA;Gasolina;Replan;SP;Brasília;DF;3.234;3.403.350
01/2023;FCA;Gasolina;Replan;SP;Estação Pool;GO;1.742;1.780.640
01/2023;FCA;Grãos - Milho;Terminal Integrador Uberaba;MG;Conceiçãozinha;SP;29.607;25.225.681
01/2023;FCA;Grãos - Milho;Terminal Integrador Uberaba;MG;Estação TUF;SP;102.185;83.339.480
01/2023;FCA;Grãos - Milho;Terminal Integrador Uberaba;MG;Santos;SP;16.941;14.326.166
01/2023;FCA;LAB - Sulfonato de alquilbenzeno linear;Copec;BA;Vespasiano;MG;876;1.412.644
01/2023;FCA;Magnesita;Catiboaba;BA;Parque Industrial;MG;11.256;11.536.015
01/2023;FCA;Magnesita;Catiboaba;BA;Porto de Aratu;BA;4.987;2.578.953
01/2023;FCA;Minério de Ferro;Silva Oliveira;MG;Intendente Câmara;MG;182.233;56.099.174
01/2023;FCA;Minério de Ferro;Terminal de Patrocínio;MG;Terminal de Fosfatados;MG;230.101;44.559.288
01/2023;FCA;Óleo Diesel;Candeias;BA;Montes Claros;MG;6.963;7.454.551
01/2023;FCA;Óleo Diesel;Embiruçu;MG;Desembargador Drumond;MG;1.764;313.348
01/2023;FCA;Óleo Diesel;Embiruçu;MG;Governador Valadares;MG;1.812;652.249
01/2023;FCA;Óleo Diesel;Replan;SP;Brasília;DF;6.987;7.352.878
01/2023;FCA;Óleo Diesel;Replan;SP;Estação Pool;GO;3.712;3.794.337
01/2023;FCA;Prd. Siderúrgicos - Fio Máquina;Eldorado;MG;João Monlevade;MG;412;59.462
01/2023;FCA;Prd. Siderúrgicos - Placa;Eldorado;MG;Intendente Câmara;MG;15.839;3.551.858
01/2023;FCA;Prd. Siderúrgicos - Tarugo;Divinopolis;MG;Tubarão;ES;10.565;8.595.916
01/2023;FCA;Soja;Brejo Alegre;MG;Tubarão;ES;19.326;26.976.541
01/2023;FCA;Soja;Terminal Integrador Uberaba;MG;Conceiçãozinha;SP;15.813;12.969.361
01/2023;FCA;Soja;Terminal Integrador Uberaba;MG;Estação TUF;SP;42.850;35.162.825
01/2023;FCA;Soja;Terminal Integrador Uberaba;MG;Santos;SP;84.619;70.084.883
01/2023;FCA;Toras de Madeira;Prudente de Morais;MG;Aracruz;ES;75.101;52.186.783
01/2023;FCA;Ureia;Estação TUF;SP;Valefertil;MG;10.904;7.578.267
01/2023;FNSTN;Adubo Fert em Geral a Granel  - Perigoso;Ponta da Madeira;MA;Palmeirante;TO;33.759;32.725.027
01/2023;FNSTN;Álcool;Porto Nacional;TO;Itaqui Base Combustível;MA;2.840;3.537.220
01/2023;FNSTN;Celulose;Suzano;MA;Pátio Esso;MA;150.352;92.552.782
01/2023;FNSTN;Cloreto de Potássio;Ponta da Madeira;MA;Palmeirante;TO;7.890;7.648.345
01/2023;FNSTN;Gasolina;Itaqui Base Combustível;MA;Porto Nacional;TO;9.450;11.770.414
01/2023;FNSTN;Grãos - Milho;Porto Franco;MA;Ponta da Madeira Pêra do Píer;MA;76.368;55.830.500
01/2023;FNSTN;Grãos - Milho;Porto Nacional;TO;Ponta da Madeira Pêra do Píer;MA;77.398;97.014.552
01/2023;FNSTN;Óleo Diesel;Itaqui Base Combustível;MA;Porto Nacional;TO;38.839;48.373.971
01/2023;FNSTN;Outros - Comb e derivado -  Perigoso;Porto Nacional;TO;Itaqui Base Combustível;MA;1.107;1.378.768
01/2023;FNSTN;Soja;Palmeirante;TO;Ponta da Madeira Pêra do Píer;MA;73.397;71.688.894
01/2023;FTC;Carvão Mineral;Mina Novo Horizonte;SC;Capivari;SC;27.668;1.528.961
01/2023;FTC;Carvão Mineral;Rio Fiorita;SC;Capivari;SC;113.607;8.944.351
01/2023;FTC;Carvão Mineral;Sangão;SC;Capivari;SC;3.167;216.081
01/2023;FTC;Carvão Mineral;Urussanga;SC;Capivari;SC;43.092;2.781.847
01/2023;FTC;Contêiner Cheio de 20 Pés;Eng. Paz Ferreira;SC;Imbituba;SC;29.284;3.121.732
01/2023;FTC;Contêiner Cheio de 40 Pés;Eng. Paz Ferreira;SC;Imbituba;SC;10.405;1.109.193
01/2023;FTC;Contêiner Vazio de 20 Pés;Imbituba;SC;Eng. Paz Ferreira;SC;2.716;289.531
01/2023;FTC;Contêiner Vazio de 40 Pés;Imbituba;SC;Eng. Paz Ferreira;SC;411;43.813
01/2023;FTL;Álcool;Itaqui;MA;Teresina;PI;66;30.369
01/2023;FTL;Areia;Aracapé;CE;Coroatá;MA;40;37.992
01/2023;FTL;Areia;Aracapé;CE;Crateus;CE;26;11.392
01/2023;FTL;Areia;Aracapé;CE;Oficina Demostenes Rockert;CE;10;195
01/2023;FTL;Areia;Aracapé;CE;São Luis - Tirirical;MA;51;60.365
01/2023;FTL;Areia;Aracapé;CE;Sobral;CE;80;18.447
01/2023;FTL;Areia;Aracapé;CE;Teresina;PI;80;58.440
01/2023;FTL;Areia;Oficina Demostenes Rockert;CE;Teresina;PI;1;731
01/2023;FTL;Celulose;Pátio Esso;MA;Itaqui;MA;143.040;286.080
01/2023;FTL;Cimento acondicionado;Fábrica Votorantim Pecém;CE;Mucuripe;CE;6.560;449.576
01/2023;FTL;Cimento acondicionado;Pecem;CE;São Luis - Tirirical;MA;2.707;3.153.338
01/2023;FTL;Cimento acondicionado;Pecem;CE;Teresina;PI;1.031;730.858
01/2023;FTL;Cimento acondicionado;Poty;CE;Mucuripe;CE;1.508;383.617
01/2023;FTL;Cimento acondicionado;Poty;CE;Teresina;PI;12.000;6.024.048
01/2023;FTL;Clínquer;Poty;CE;Fábrica Votorantim Pecém;CE;6.563;1.314.588
01/2023;FTL;Clínquer;Poty;CE;Pátio ABL;MA;8.579;8.217.429
01/2023;FTL;Contêiner Cheio de 20 Pés;Pecem;CE;Aracapé;CE;178;10.256
01/2023;FTL;Coque;Mucuripe;CE;Poty;CE;1.779;452.556
01/2023;FTL;Demais Produtos;Aracapé;CE;Água Branca;PI;86;45.860
01/2023;FTL;Demais Produtos;Aracapé;CE;Itapipoca Novo;CE;20;2.759
01/2023;FTL;Demais Produtos;Babaçu;MA;Crateus;CE;12;5.020
01/2023;FTL;Demais Produtos;Babaçu;MA;Oiticica;CE;7;2.522
01/2023;FTL;Demais Produtos;Carga Ferro Gusa e Cruz;MA;Babaçu;MA;7.445;1.996.279
01/2023;FTL;Demais Produtos;Carga Ferro Gusa e Cruz;MA;Cana Brava;PI;80;48.960
01/2023;FTL;Demais Produtos;Carga Ferro Gusa e Cruz;MA;Carema;MA;965;31.748
01/2023;FTL;Demais Produtos;Carga Ferro Gusa e Cruz;MA;Rosário;MA;201;2.252
01/2023;FTL;Demais Produtos;Caxias Nova;MA;Babaçu;MA;605;28.586
01/2023;FTL;Demais Produtos;Caxias Nova;MA;Carga Ferro Gusa e Cruz;MA;3;954
01/2023;FTL;Demais Produtos;Coroatá;MA;Aracapé;CE;1;949
01/2023;FTL;Demais Produtos;Crateus;CE;Aracapé;CE;1;438
01/2023;FTL;Demais Produtos;São Luis - Tirirical;MA;Água Branca;PI;43;28.089
01/2023;FTL;Demais Produtos;São Luis - Tirirical;MA;Babaçu;MA;134;44.220
01/2023;FTL;Demais Produtos;São Luis - Tirirical;MA;Coroatá;MA;3;710
01/2023;FTL;Demais Produtos;São Luis - Tirirical;MA;Nova Russas;CE;23;18.576
01/2023;FTL;Demais Produtos;São Luis - Tirirical;MA;Oficina Demostenes Rockert;CE;9;10.657
01/2023;FTL;Demais Produtos;Sobral;CE;Aracapé;CE;16;3.689
01/2023;FTL;Demais Produtos;Sobral;CE;Cariré;CE;3;98
01/2023;FTL;Demais Produtos;Teresina;PI;Oficina Demostenes Rockert;CE;10;7.310
01/2023;FTL;Demais Produtos;Teresina;PI;Pecem;CE;4;2.835
01/2023;FTL;Dormentes de Madeira;Babaçu;MA;Croatá;CE;17;13.386
01/2023;FTL;Dormentes de Madeira;Babaçu;MA;Itapecuru Mirim;MA;17;3.444
01/2023;FTL;Dormentes de Madeira;Babaçu;MA;Sombra;PI;14;3.111
01/2023;FTL;Dormentes de Madeira;São Luis - Tirirical;MA;Altos;PI;23;11.319
01/2023;FTL;Gasolina;Itaqui;MA;Itarare;PI;15.310;7.090.823
01/2023;FTL;Gasolina;Itaqui;MA;Teresina;PI;3.789;1.737.646
01/2023;FTL;Óleo Diesel;Itaqui;MA;Itarare;PI;21.553;9.982.266
01/2023;FTL;Óleo Diesel;Itaqui;MA;Teresina;PI;4.282;1.967.084
01/2023;FTL;Outros - Indústria Cimenteira e Construção;Fábrica Votorantim Pecém;CE;Mucuripe;CE;79;5.414
01/2023;FTL;Pó de Pedra;Carga Ferro Gusa e Cruz;MA;Água Branca;PI;201;119.441
01/2023;FTL;Prd. Siderúrgicos - Bobina - BF;Pecem;CE;Teresina;PI;7.562;5.536.773
01/2023;FTL;Prd. Siderúrgicos - Outros;Pecem;CE;Aracapé;CE;375;21.607
01/2023;FTL;Prd. Siderúrgicos - Outros;Pecem;CE;São Luis - Tirirical;MA;497;578.946
01/2023;MRS;Açúcar;Airosa Galvão;SP;Santos;SP;19.613;10.009.709
01/2023;MRS;Açúcar;Itirapina;SP;Santos;SP;71.946;28.262.403
01/2023;MRS;Açúcar;Pradopolis;SP;Santos;SP;14.303;7.715.996
01/2023;MRS;Areia;Cruzeiro;SP;Mooca;SP;21.488;5.033.263
01/2023;MRS;Areia;Cruzeiro;SP;Santo André;SP;2.602;646.542
01/2023;MRS;Areia;Roseira;SP;Água Branca;SP;9.171;1.692.526
01/2023;MRS;Areia;Roseira;SP;Mooca;SP;16.007;2.852.287
01/2023;MRS;Bauxita;Barão de Angra;RJ;Alumínio;SP;52.710;35.783.395
01/2023;MRS;Calcário Siderúrgico;Itutinga;MG;Volta Redonda;RJ;11.002;2.274.971
01/2023;MRS;Carvão Mineral;Baia Sepetiba;RJ;Volta Redonda;RJ;126.998;15.112.254
01/2023;MRS;Carvão Mineral;Porto Sudeste;RJ;Ouro Branco;MG;29.325;13.852.543
01/2023;MRS;Celulose;Pederneiras;SP;Santos;SP;215.370;112.221.984
01/2023;MRS;Celulose;São Silvestre;SP;Barnabé;SP;78.760;7.951.609
01/2023;MRS;Cimento a Granel;Barbacena;MG;Santo André;SP;37.188;24.622.769
01/2023;MRS;Cimento a Granel;Pedra do Sino;MG;São Bento;SP;32.127;20.934.756
01/2023;MRS;Cimento acondicionado;Arará;RJ;São José dos Campos;SP;3.789;1.442.298
01/2023;MRS;Cimento acondicionado;Pedra do Sino;MG;Arará;RJ;12.327;6.539.941
01/2023;MRS;Cimento acondicionado;Volta Redonda;RJ;Arará;RJ;30.195;4.368.099
01/2023;MRS;Cimento acondicionado;Volta Redonda;RJ;Capuava;SP;3.301;1.188.614
01/2023;MRS;Cimento acondicionado;Volta Redonda;RJ;Mogi das Cruzes;SP;287;95.426
01/2023;MRS;Cimento acondicionado;Volta Redonda;RJ;Pedrasil;SP;170;28.487
01/2023;MRS;Cimento acondicionado;Wilson Lobato;MG;Eng. São Paulo;SP;1.334;1.119.579
01/2023;MRS;Cimento acondicionado;Wilson Lobato;MG;Santo André;SP;630;539.974
01/2023;MRS;Contêiner Cheio de 20 Pés;Arará;RJ;Barnabé;SP;27;14.099
01/2023;MRS;Contêiner Cheio de 20 Pés;Arará;RJ;Conceiçãozinha;SP;11;5.834
01/2023;MRS;Contêiner Cheio de 20 Pés;Arará;RJ;Eldorado;MG;3.741;2.404.006
01/2023;MRS;Contêiner Cheio de 20 Pés;Arará;RJ;Floriano;RJ;1.418;244.165
01/2023;MRS;Contêiner Cheio de 20 Pés;Barnabé;SP;Edmar Alves;SP;3.003;468.341
01/2023;MRS;Contêiner Cheio de 20 Pés;Barnabé;SP;Jundiaí;SP;13;1.675
01/2023;MRS;Contêiner Cheio de 20 Pés;Conceiçãozinha;SP;Curuputuba;SP;3.825;811.554
01/2023;MRS;Contêiner Cheio de 20 Pés;Conceiçãozinha;SP;Eng. Neiva;SP;710;172.248
01/2023;MRS;Contêiner Cheio de 20 Pés;Conceiçãozinha;SP;Jundiaí;SP;1.660;227.522
01/2023;MRS;Contêiner Cheio de 20 Pés;Curuputuba;SP;Barnabé;SP;1.072;218.695
01/2023;MRS;Contêiner Cheio de 20 Pés;Curuputuba;SP;Brisamar;RJ;3.815;1.096.946
01/2023;MRS;Contêiner Cheio de 20 Pés;Curuputuba;SP;Conceiçãozinha;SP;8.131;1.725.161
01/2023;MRS;Contêiner Cheio de 20 Pés;Dias Tavares;MG;Conceiçãozinha;SP;162;145.237
01/2023;MRS;Contêiner Cheio de 20 Pés;Eldorado;MG;Arará;RJ;2.753;1.604.450
01/2023;MRS;Contêiner Cheio de 20 Pés;Eldorado;MG;Brisamar;RJ;1.558;860.224
01/2023;MRS;Contêiner Cheio de 20 Pés;Itutinga;MG;Final Ramal das Fábricas;SP;2.349;1.351.288
01/2023;MRS;Contêiner Cheio de 20 Pés;Jundiaí;SP;Conceiçãozinha;SP;1.655;226.837
01/2023;MRS;Contêiner Cheio de 20 Pés;Santos;SP;Boa Vista Velha;SP;12;2.300
01/2023;MRS;Contêiner Cheio de 20 Pés;Santos;SP;Jundiaí;SP;35;4.882
01/2023;MRS;Contêiner Cheio de 20 Pés - Perigoso;Conceiçãozinha;SP;Eng. Neiva;SP;1.853;449.541
01/2023;MRS;Contêiner Cheio de 40 Pés;Arará;RJ;Barnabé;SP;1.748;912.822
01/2023;MRS;Contêiner Cheio de 40 Pés;Arará;RJ;Conceiçãozinha;SP;204;108.195
01/2023;MRS;Contêiner Cheio de 40 Pés;Arará;RJ;Edmar Alves;SP;1.556;569.888
01/2023;MRS;Contêiner Cheio de 40 Pés;Arará;RJ;Itatiaia;RJ;96;19.481
01/2023;MRS;Contêiner Cheio de 40 Pés;Arará;RJ;Manoel Feio;SP;1.710;776.522
01/2023;MRS;Contêiner Cheio de 40 Pés;Arará;RJ;MultiTerminais;RJ;640;127.288
01/2023;MRS;Contêiner Cheio de 40 Pés;Barnabé;SP;Curuputuba;SP;8.092;1.650.832
01/2023;MRS;Contêiner Cheio de 40 Pés;Barnabé;SP;Jundiaí;SP;2.034;262.179
01/2023;MRS;Contêiner Cheio de 40 Pés;Brisamar;RJ;Eldorado;MG;200;122.388
01/2023;MRS;Contêiner Cheio de 40 Pés;Brisamar;RJ;Floriano;RJ;5.997;848.713
01/2023;MRS;Contêiner Cheio de 40 Pés;Brisamar;RJ;Itatiaia;RJ;33;5.684
01/2023;MRS;Contêiner Cheio de 40 Pés;Brisamar;RJ;MultiTerminais;RJ;609;102.447
01/2023;MRS;Contêiner Cheio de 40 Pés;Conceiçãozinha;SP;Água Branca;SP;2.699;222.456
01/2023;MRS;Contêiner Cheio de 40 Pés;Conceiçãozinha;SP;Curuputuba;SP;7.161;1.519.356
01/2023;MRS;Contêiner Cheio de 40 Pés;Conceiçãozinha;SP;Jundiaí;SP;6.937;950.797
01/2023;MRS;Contêiner Cheio de 40 Pés;Eldorado;MG;Brisamar;RJ;536;295.943
